epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5265,4.10291,5.98447,4.23932,0,0,0,0,4.14651,5.03956,4.18284,0.00329932,0.00329932,0.00329932
2,100.197,2.87902,3.95001,3.04058,0.07479,0.05439,0.01444,0.00509,2.44469,20.4528,3.02443,0.00662828,0.00662828,0.00662828
3,150.006,2.21825,2.80076,2.15704,0.14834,0.14454,0.04708,0.01794,2.0578,4.62607,2.18092,0.00995283,0.00995283,0.00995283
4,196.753,1.93916,2.31272,1.89084,0.16642,0.29558,0.167,0.07447,1.96551,2.33897,2.05509,0.0099802,0.0099802,0.0099802
5,243.324,1.75424,1.98626,1.74425,0.23515,0.18228,0.12871,0.05805,1.89966,2.36431,1.98622,0.0099736,0.0099736,0.0099736
6,289.657,1.65477,1.77609,1.65806,0.27084,0.35465,0.26041,0.12375,1.69113,1.69652,1.80886,0.009967,0.009967,0.009967
7,335.989,1.59156,1.6272,1.61339,0.19959,0.3007,0.1863,0.08772,1.76366,2.19705,1.88743,0.0099604,0.0099604,0.0099604
8,382.291,1.53602,1.52272,1.56898,0.33062,0.46416,0.36573,0.20281,1.49453,1.3949,1.63267,0.0099538,0.0099538,0.0099538
9,428.933,1.48206,1.42458,1.52548,0.36111,0.509,0.41298,0.23192,1.43812,1.3631,1.60235,0.0099472,0.0099472,0.0099472
10,475.4,1.45518,1.35501,1.50146,0.38182,0.53577,0.45726,0.27217,1.44796,1.25549,1.58703,0.0099406,0.0099406,0.0099406
